Process,Department
Maintaining confidentiality of employee information and records,Human Resource
Maintaining daily logistics performance reports,Admin
Maintaining employee attendance records,Human Resource
Maintaining office supplies and stationery inventory,Admin
Maintaining office supplies inventory,Procurement
Maintaining personnel files and HR database,Human Resource
Maintaining procurement documentation,Procurement
Maintaining procurement records and purchase documentation,Procurement
"Maintaining records for GST, TDS, and other tax compliance",Finance
Maintaining tool crib and issuing tools to operators,Shop Floor
Maintaining tool inventory and calibration records,Engineering
Maintaining transportation schedules and vehicle utilization records,Logistics
Maintaining vehicle logbooks and office transport schedules,Admin
Maintenance of electrical equipment,Shop Floor
Maintenance training and feedback,Shop Floor
Managing annual maintenance contracts (AMCs) for office equipment,Admin
Managing annual rate contracts and supplier agreements,Procurement
"Managing employee health, safety, and welfare programs",Human Resource
Managing employee performance appraisal and goal-setting process,Human Resource
Managing end-to-end recruitment and selection process,Human Resource
Managing facility maintenance and repair schedules,Admin
Managing investment and loan documentation,Finance
Managing payroll accounting and statutory deductions,Finance
Managing payroll and statutory compliance,Finance
Managing procurement of indirect materials like tools and MRO items,Procurement
Managing recruitment and candidate screening,Human Resource
"Managing repairs of HVAC, lighting, and electrical systems",Admin
Managing rework and scrap segregation,Shop Floor
Managing rework and scrap segregation activities,Shop Floor
Managing vendor contracts for office services,Procurement
Managing visitor access and security logs,Admin
"Managing visitor entry, security, and access control systems",Admin
Managing warehouse inventory and storage layout,Logistics
"Managing warehouse inventory, storage layout, and stock accuracy",Logistics
Monitor process performance,Shop Floor
Monitoring accounts receivable and following up on customer payments,Finance
"Monitoring and improving process capability indices (Cp, Cpk)",Engineering
Monitoring cash flow and budget utilization,Finance
Monitoring logistics KPIs such as delivery lead time and freight cost,Logistics
Monitoring office utility consumption and optimizing costs,Admin
Monitoring process capability indices,Engineering
Monitoring process parameters during machining operations,Shop Floor
Monitoring supplier delivery performance,Procurement
Monitoring supplier delivery performance,Procurement
Monitoring supplier performance through delivery and quality metrics,Procurement
Monitoring vehicle utilization and fuel records,Logistics
Monitoring welding process parameters,Shop Floor
"Negotiating pricing, delivery terms, and payment conditions with vendors",Procurement
Negotiating terms and pricing with vendors,Procurement
Operating CNC machines for precision machining,Shop Floor
Operating CNC machines for precision part machining,Shop Floor
Optimizing machine parameters for energy efficiency,Engineering
Organizing employee engagement and welfare activities,Human Resource
Organizing team coordination meeting,Shop Floor
Organizing team coordination meeting,Shop Floor
Organizing team coordination meeting,Shop Floor
Organizing training and skill development programs,Human Resource
Overseeing housekeeping and sanitation activities,Admin
Overseeing pest control and hygiene compliance activities,Admin
Overseeing waste management and disposal activities,Admin
performance monitoring of process,Shop Floor
Performing 5S and housekeeping audits in work area,Shop Floor
Performing preventive maintenance on equipment,Shop Floor
Performing preventive maintenance on production equipment,Shop Floor
Performing root cause analysis for defects,Engineering
Performing root cause analysis for field or process failures,Engineering
Periodic maintenance of machine,Shop Floor
Planning and executing succession and talent development programs,Human Resource
Planning loading and unloading operations,Logistics
Planning loading and unloading operations to optimize turnaround time,Logistics
Planning manpower requirements and workforce forecasting,Human Resource
Planning preventive maintenance activity,Shop Floor
Planning preventive maintenance activity,Shop Floor
Planning preventive maintenance activity,Shop Floor
Planning succession for key positions,Human Resource
Preparing and monitoring annual budgets and forecasts,Finance
Preparing audit schedules and supporting documents,Finance
Preparing daily performance summary,Shop Floor
Preparing engineering drawings and BOMs,Engineering
Preparing facility inspection and compliance reports,Admin
Preparing HR dashboards and reports for management review,Human Resource
"Preparing HR policies, circulars, and process documentation",Human Resource
Preparing monthly and annual financial statements,Finance
Preparing monthly financial statements,Finance
Preparing supplier evaluation and performance review reports,Procurement
Preparing technical documentation for product certification,Engineering
Process improvement identification ,Shop Floor
Processing employee leave and benefits,Human Resource
Processing supplier invoices and ensuring timely payments,Finance
Processing supplier invoices for payment,Finance
Quality check of products,Shop Floor
Quality monitoring of process and products,Shop Floor
Reconciling bank accounts and ledgers,Finance
"Reconciling bank accounts, vendor accounts, and general ledgers",Finance
Recording daily financial transactions in the accounting system,Finance
Recording daily production quantities and machine hours,Shop Floor
Recording production quantities in log sheet,Shop Floor
Reporting equipment breakdowns and coordinating maintenance support,Shop Floor
Reporting operational deviations,Shop Floor
Reporting operational deviations,Shop Floor
Reviewing CAD models for manufacturability,Engineering
Reviewing engineering change requests (ECR) and approvals,Engineering
Reviewing expense claims and approving employee reimbursements,Finance
Reviewing failure mode and effects analysis (FMEA) reports,Engineering
Reviewing inventory levels and initiating replenishment orders,Procurement
Reviewing procedure compliance,Shop Floor
Reviewing procedure compliance,Shop Floor
Reviewing procedure compliance,Shop Floor
Reviewing process Adherence,Shop Floor
Reviewing profit and loss reports,Finance
Reviewing profit and loss statements and balance sheets for accuracy,Finance
Scheduling and tracking dispatch of finished goods to customers,Logistics
Scheduling dispatch of finished goods,Logistics
Setting up jigs and fixtures for production runs,Shop Floor
Simulating product performance using finite element analysis (FEA),Engineering
Sourcing alternate suppliers for critical components,Procurement
Sourcing alternate vendors for critical or long-lead items,Procurement
Supervising building safety inspections,Shop Floor
Supervising canteen and employee transport facilities,Admin
Supervising shift operations and operator allocation,Shop Floor
Supervising shift operations on assembly line,Shop Floor
Supporting new product introduction (NPI) and trial runs,Engineering
Supporting other departments in documentation and administrative assistance,Admin
Supporting procurement with cost validation and vendor payment schedules,Finance
Testing product under simulated load conditions,Engineering
Testing products under thermal and mechanical stress conditions,Engineering
Tracking cash flow and managing working capital requirements,Finance
Tracking delivery schedules with suppliers,Procurement
Tracking employee performance metrics and retention data,Human Resource
Tracking open purchase orders and updating delivery schedules,Procurement
Updating ERP records for production tracking,Logistics
Updating production status on shop floor control system,Shop Floor
Updating shipment tracking details,Logistics
Validating engineering drawings for manufacturability,Engineering
Verifying machine zero setting before production start,Shop Floor
Verifying quality of incoming items,Shop Floor
Verifying quality of incoming items,Shop Floor
